k, n, p, q, poverq, eigenvectors, conductance, rand
16, 1000, 0.01, 0.005, 2.0, 10, 0.6641757172987934, 0.9950777790799427
16, 1000, 0.01, 0.005, 2.0, 11, 0.6634729337297769, 0.989584236514782
16, 1000, 0.01, 0.005, 2.0, 12, 0.6660025949691706, 0.9815857491093192
16, 1000, 0.01, 0.005, 2.0, 13, 0.6633950522515428, 0.9805730037814863
16, 1000, 0.01, 0.005, 2.0, 14, 0.6640466715001179, 0.9726718974623415
16, 1000, 0.01, 0.005, 2.0, 15, 0.6651589866619453, 0.968833084099006
16, 1000, 0.01, 0.005, 2.0, 16, 0.6602020142076134, 0.9649112319519972
16, 1000, 0.01, 0.006, 1.6666666666666667, 1, 0.99305778968388, 0.8693733444277767
16, 1000, 0.01, 0.006, 1.6666666666666667, 2, 0.8629470399306005, 0.9287441347896743
16, 1000, 0.01, 0.006, 1.6666666666666667, 3, 0.7101444365816867, 0.9976320129383087
16, 1000, 0.01, 0.006, 1.6666666666666667, 4, 0.709012659495642, 0.9933453137696105
16, 1000, 0.01, 0.006, 1.6666666666666667, 5, 0.7104841618367501, 0.9968963513344583
16, 1000, 0.01, 0.006, 1.6666666666666667, 6, 0.7083616043235424, 0.9989043760547534
16, 1000, 0.01, 0.006, 1.6666666666666667, 7, 0.7079582388812363, 0.9966216341646353
16, 1000, 0.01, 0.006, 1.6666666666666667, 8, 0.7077852137809749, 0.9958974201512596
16, 1000, 0.01, 0.006, 1.6666666666666667, 9, 0.7066263534917695, 0.9942509672479529
16, 1000, 0.01, 0.006, 1.6666666666666667, 10, 0.7003060316752421, 0.9934825590661915
16, 1000, 0.01, 0.006, 1.6666666666666667, 11, 0.6993571714843219, 0.9861888047690479
16, 1000, 0.01, 0.006, 1.6666666666666667, 12, 0.6970809856900149, 0.9790975435964748
16, 1000, 0.01, 0.006, 1.6666666666666667, 13, 0.6981104356454796, 0.9783920080942561
16, 1000, 0.01, 0.006, 1.6666666666666667, 14, 0.6957902376273689, 0.9716227522032627
16, 1000, 0.01, 0.006, 1.6666666666666667, 15, 0.6946937448400116, 0.9687983413025814
