id, k, eigs, ri, voi
105027, 5, 4, 0.438126, 2.793482
105027, 5, 5, 0.531056, 2.196279
106005, 7, 2, 0.675956, 2.476256
106005, 7, 3, 0.667864, 2.522841
106005, 7, 4, 0.710523, 1.947347
106005, 7, 5, 0.719275, 1.898008
106005, 7, 6, 0.703278, 1.973189
106005, 7, 7, 0.697963, 1.948757
106047, 4, 2, 0.434665, 2.570677
106047, 4, 3, 0.460430, 2.386846
106047, 4, 4, 0.508326, 2.150680
107014, 19, 2, 0.727886, 5.109299
107014, 19, 4, 0.756852, 3.679653
107014, 19, 6, 0.766429, 3.363674
107014, 19, 8, 0.775195, 3.088553
107014, 19, 10, 0.774863, 3.050234
107014, 19, 12, 0.768354, 3.179110
107014, 19, 14, 0.766987, 3.247839
107014, 19, 16, 0.762904, 3.194768
107014, 19, 18, 0.761852, 3.196574
107014, 19, 19, 0.770012, 3.097094
107045, 13, 2, 0.713773, 3.193658
107045, 13, 4, 0.700720, 3.390119
107045, 13, 6, 0.718298, 2.857572
107045, 13, 8, 0.722703, 2.807834
107045, 13, 10, 0.722320, 2.583116
107045, 13, 12, 0.702281, 2.696411
107045, 13, 13, 0.698754, 2.699356
107072, 19, 2, 0.671974, 4.475461
107072, 19, 4, 0.698503, 3.422985
107072, 19, 6, 0.701003, 3.340934
107072, 19, 8, 0.701110, 3.200036
107072, 19, 10, 0.701674, 3.180383
107072, 19, 12, 0.700559, 3.171199
107072, 19, 14, 0.705102, 2.951105
107072, 19, 16, 0.692817, 3.112900
107072, 19, 18, 0.694439, 3.070503
107072, 19, 19, 0.689099, 3.149152
108004, 5, 2, 0.387431, 2.728996
108004, 5, 3, 0.394490, 2.569834
108004, 5, 4, 0.458796, 2.169560
108004, 5, 5, 0.451372, 2.289730
108036, 14, 2, 0.723837, 3.966945
108036, 14, 4, 0.746346, 3.325520
108036, 14, 6, 0.746137, 3.067662
108036, 14, 8, 0.750012, 3.173800
108036, 14, 10, 0.739952, 3.105031
108036, 14, 12, 0.742973, 2.961409
108036, 14, 14, 0.710867, 2.956446
